iter	Passed	Remaining
412	3551	5047
413	3559	5037
414	3567	5029
415	3575	5019
416	3586	5014
417	3595	5006
418	3603	4996
419	3610	4985
420	3618	4976
421	3625	4965
422	3633	4956
423	3640	4945
424	3648	4936
425	3655	4924
426	3664	4917
427	3671	4906
428	3680	4898
429	3687	4888
430	3696	4880
431	3704	4870
432	3712	4861
433	3719	4850
434	3728	4842
435	3736	4833
436	3744	4824
437	3751	4814
438	3760	4805
439	3768	4796
440	3779	4790
441	3787	4781
442	3795	4772
443	3802	4762
444	3811	4753
445	3818	4743
446	3826	4733
447	3835	4725
448	3842	4715
449	3851	4706
450	3861	4700
451	3869	4691
452	3878	4682
453	3885	4673
454	3898	4669
455	3908	4663
456	3916	4653
457	3926	4646
458	3934	4637
459	3942	4628
460	3950	4618
461	3959	4610
462	3965	4599
463	3974	4590
464	3983	4583
465	3994	4577
466	4005	4571
467	4013	4562
468	4022	4554
469	4031	4546
470	4040	4537
471	4047	4527
472	4055	4518
473	4065	4511
474	4073	4502
475	4080	4492
476	4089	4483
477	4096	4473
478	4106	4466
479	4115	4458
480	4124	4450
481	4134	4443
482	4147	4439
483	4159	4434
484	4168	4426
485	4176	4417
486	4185	4408
487	4194	4401
488	4204	4393
489	4214	4386
490	4225	4380
491	4234	4372
492	4242	4362
493	4251	4354
494	4260	4346
495	4269	4338
496	4278	4329
497	4286	4320
498	4294	4311
499	4302	4302
500	4311	4294
501	4320	4285
502	4330	4278
503	4338	4269
504	4345	4259
505	4353	4250
506	4363	4243
507	4371	4234
508	4380	4225
509	4386	4214
510	4395	4206
511	4403	4196
512	4413	4189
513	4422	4181
514	4434	4175
515	4443	4167
516	4451	4158
517	4460	4150
518	4469	4142
519	4477	4133
520	4485	4123
521	4494	4115
522	4503	4107
523	4512	4099
524	4522	4091
525	4530	4082
526	4540	4074
527	4547	4065
528	4556	4056
529	4563	4047
530	4574	4040
531	4580	4029
532	4590	4021
533	4597	4011
534	4605	4003
535	4614	3994
536	4624	3987
537	4633	3979
538	4645	3973
539	4655	3965
540	4663	3956
541	4672	3948
542	4680	3939
543	4688	3930
544	4695	3920
545	4704	3911
546	4713	3903
547	4723	3896
548	4732	3887
549	4740	3878
550	4749	3870
551	4757	3861
552	4764	3851
553	4772	3842
554	4782	3834
555	4789	3824
556	4797	3815
557	4804	3805
558	4812	3796
559	4822	3789
560	4832	3781
561	4841	3773
562	4849	3764
563	4858	3755
564	4867	3747
565	4874	3737
566	4883	3729
567	4890	3719
568	4898	3710
569	4906	3701
570	4916	3693
571	4923	3684
572	4931	3674
573	4939	3665
574	4947	3656
575	4955	3647
576	4963	3638
577	4971	3629
578	4979	3620
579	4987	3611
580	4994	3601
581	5002	3592
582	5009	3583
583	5016	3573
584	5024	3564
585	5031	3554
586	5039	3545
587	5050	3538
588	5058	3529
589	5065	3520
590	5073	3511
591	5080	3501
592	5088	3492
593	5095	3482
594	5102	3473
595	5109	3463
596	5118	3455
597	5125	3445
598	5133	3436
599	5140	3426
600	5147	3417
601	5155	3408
602	5163	3399
603	5170	3390
604	5178	3381
605	5186	3371
606	5192	3362
607	5200	3352
608	5208	3344
609	5216	3335
610	5223	3325
611	5231	3316
612	5240	3308
613	5249	3299
614	5257	3291
615	5265	3282
616	5272	3273
617	5281	3264
618	5289	3255
619	5296	3246
620	5303	3236
621	5310	3227
622	5319	3219
623	5327	3210
624	5337	3202
625	5344	3193
626	5353	3184
627	5360	3175
628	5368	3166
629	5376	3157
630	5385	3149
631	5392	3140
632	5401	3131
633	5408	3122
634	5416	3113
635	5424	3104
636	5433	3096
637	5440	3087
638	5449	3078
639	5458	3070
640	5467	3062
641	5477	3054
642	5485	3045
643	5492	3036
644	5500	3027
645	5507	3018
646	5517	3010
647	5524	3001
648	5533	2992
649	5541	2984
650	5549	2975
651	5556	2965
652	5565	2957
653	5573	2948
654	5581	2940
655	5589	2931
656	5597	2922
657	5605	2913
658	5614	2905
659	5621	2895
660	5629	2887
661	5636	2877
662	5645	2869
663	5653	2860
664	5664	2853
665	5672	2844
666	5679	2835
667	5686	2826
668	5695	2818
669	5702	2808
670	5711	2800
671	5719	2791
672	5727	2783
673	5735	2774
674	5743	2765
675	5750	2756
676	5759	2747
677	5766	2738
678	5774	2729
679	5781	2720
680	5791	2712
681	5798	2703
682	5806	2694
683	5814	2686
684	5822	2677
685	5832	2669
686	5840	2660
687	5848	2652
688	5860	2645
689	5868	2636
690	5880	2629
691	5891	2622
692	5898	2613
693	5906	2604
694	5914	2595
695	5922	2586
696	5930	2578
697	5939	2569
698	5946	2560
699	5955	2552
700	5963	2543
701	5973	2535
702	5982	2527
703	5990	2518
704	6000	2510
705	6008	2502
706	6016	2493
707	6023	2484
708	6032	2475
709	6040	2467
710	6048	2458
711	6057	2450
712	6067	2442
713	6076	2434
714	6088	2426
715	6098	2419
716	6106	2410
717	6115	2401
718	6122	2392
719	6131	2384
720	6139	2375
721	6147	2367
722	6155	2358
723	6165	2350
724	6173	2341
725	6181	2333
726	6190	2324
727	6199	2316
728	6207	2307
729	6215	2298
730	6222	2289
731	6232	2281
732	6240	2273
733	6248	2264
734	6259	2256
735	6267	2248
736	6278	2240
737	6286	2231
738	6298	2224
739	6305	2215
740	6313	2206
741	6322	2198
742	6329	2189
743	6338	2180
744	6347	2172
745	6356	2164
746	6364	2155
747	6375	2147
748	6383	2139
749	6393	2131
750	6402	2122
751	6410	2114
752	6419	2105
753	6426	2096
754	6433	2087
755	6443	2079
756	6452	2071
757	6461	2062
758	6470	2054
759	6479	2046
760	6492	2039
761	6501	2030
762	6510	2022
763	6519	2013
764	6527	2005
765	6535	1996
766	6544	1988
767	6552	1979
768	6560	1970
769	6571	1962
770	6579	1954
771	6588	1945
772	6596	1937
773	6604	1928
774	6613	1920
775	6622	1911
776	6630	1902
777	6638	1894
778	6648	1886
779	6656	1877
780	6665	1869
781	6673	1860
782	6682	1851
783	6692	1843
784	6705	1836
785	6713	1827
786	6721	1819
787	6729	1810
788	6738	1801
789	6748	1793
790	6756	1785
791	6765	1776
792	6775	1768
793	6783	1759
794	6791	1751
795	6799	1742
796	6807	1733
797	6816	1725
798	6824	1716
799	6831	1707
800	6838	1699
801	6846	1690
802	6854	1681
803	6863	1673
804	6871	1664
805	6880	1656
806	6887	1647
807	6896	1638
808	6905	1630
809	6916	1622
810	6926	1614
811	6933	1605
812	6941	1596
813	6948	1587
814	6956	1579
815	6963	1570
816	6971	1561
817	6978	1552
818	6985	1543
819	6992	1534
820	6999	1526
821	7006	1517
822	7014	1508
823	7020	1499
824	7028	1490
825	7035	1482
826	7042	1473
827	7050	1464
828	7058	1455
829	7064	1447
830	7073	1438
831	7080	1429
832	7087	1420
833	7094	1412
834	7105	1404
835	7114	1395
836	7122	1387
837	7129	1378
838	7137	1369
839	7144	1360
840	7151	1352
841	7158	1343
842	7166	1334
843	7173	1325
844	7180	1317
845	7187	1308
846	7194	1299
847	7202	1291
848	7209	1282
849	7218	1273
850	7227	1265
851	7235	1256
852	7243	1248
853	7251	1239
854	7258	1230
855	7266	1222
856	7274	1213
857	7283	1205
858	7291	1196
859	7301	1188
860	7310	1180
861	7318	1171
862	7326	1163
863	7334	1154
864	7341	1145
865	7351	1137
866	7359	1129
867	7367	1120
868	7374	1111
869	7382	1103
870	7389	1094
871	7399	1086
872	7406	1077
873	7415	1069
874	7424	1060
875	7433	1052
876	7441	1043
877	7449	1035
878	7457	1026
879	7465	1018
880	7472	1009
881	7481	1000
882	7487	992
883	7497	983
884	7504	975
885	7516	967
886	7525	958
887	7534	950
888	7543	941
889	7551	933
890	7559	924
891	7566	916
892	7575	907
893	7584	899
894	7592	890
895	7600	882
896	7608	873
897	7616	865
898	7624	856
899	7632	848
900	7639	839
901	7647	830
902	7654	822
903	7662	813
904	7669	805
905	7676	796
906	7684	787
907	7694	779
908	7703	771
909	7712	762
910	7720	754
911	7728	745
912	7735	737
913	7743	728
914	7751	720
915	7760	711
916	7768	703
917	7777	694
918	7787	686
919	7796	677
920	7805	669
921	7815	661
922	7824	652
923	7834	644
924	7842	635
925	7851	627
926	7859	618
927	7870	610
928	7878	602
929	7890	593
930	7901	585
931	7910	577
932	7919	568
933	7926	560
934	7935	551
935	7943	543
936	7952	534
937	7960	526
938	7969	517
939	7978	509
940	7987	500
941	7996	492
942	8004	483
943	8013	475
944	8023	466
945	8032	458
946	8041	450
947	8050	441
948	8058	433
949	8068	424
950	8076	416
951	8086	407
952	8095	399
953	8105	390
954	8116	382
955	8126	374
956	8133	365
957	8139	356
958	8148	348
959	8156	339
960	8165	331
961	8173	322
962	8180	314
963	8190	305
964	8198	297
965	8208	288
966	8216	280
967	8225	271
968	8233	263
969	8243	254
970	8252	246
971	8261	237
972	8271	229
973	8279	221
974	8288	212
975	8296	204
976	8306	195
977	8314	187
978	8326	178
979	8336	170
980	8343	161
981	8351	153
982	8360	144
983	8370	136
984	8377	127
985	8387	119
986	8398	110
987	8407	102
988	8415	93
989	8423	85
990	8431	76
991	8440	68
992	8448	59
993	8458	51
994	8467	42
995	8475	34
996	8484	25
997	8493	17
998	8502	8
999	8511	0
