iter	Logloss
0	0.6607082878
1	0.6359256586
2	0.6096546737
3	0.5842186987
4	0.5593276609
5	0.5376142832
6	0.5206761666
7	0.5029511134
8	0.4872128852
9	0.4750710791
10	0.4622202225
11	0.4503894338
12	0.4395381679
13	0.429725739
14	0.4189084381
15	0.412066586
16	0.4048334233
17	0.3967890947
18	0.387756106
19	0.3802355436
20	0.373259554
21	0.3647662435
22	0.358553926
23	0.3532852996
24	0.3492795806
25	0.3456687766
26	0.3386608119
27	0.3332225675
28	0.3298001375
29	0.325504263
30	0.3221649815
31	0.3180763562
32	0.3150236865
33	0.3110082453
34	0.3065501995
35	0.3027311625
36	0.2996383993
37	0.2955945499
38	0.2935730306
39	0.2902458732
40	0.2880998259
41	0.2845490739
42	0.2817137573
43	0.2799014258
44	0.27765313
45	0.2757438584
46	0.2737408901
47	0.272135371
48	0.2707051513
49	0.2678762397
50	0.2655320429
51	0.2630897375
52	0.26140378
53	0.2591358186
54	0.2571683236
55	0.2549886105
56	0.253371928
57	0.2523332579
58	0.2502986595
59	0.2482104978
60	0.2471665363
61	0.2444875233
62	0.2421353017
63	0.2405938997
64	0.2395883229
65	0.2371043491
66	0.2361156785
67	0.2349878645
68	0.2337203806
69	0.23276775
70	0.2315037148
71	0.230363749
72	0.2294959065
73	0.2286182118
74	0.2278725872
75	0.2267521532
76	0.2256062551
77	0.2238111538
78	0.2228160021
79	0.2217340828
80	0.2208590076
81	0.2198767813
82	0.2187980033
83	0.217866235
84	0.2160599306
85	0.214948492
86	0.2140002398
87	0.2125209409
88	0.2117600513
89	0.2104667983
90	0.2098576774
91	0.2087668293
92	0.2082306325
93	0.2068703941
94	0.2060510149
95	0.2052317995
96	0.2044182298
97	0.2034919823
98	0.2027816657
99	0.2019811598
100	0.2014000854
101	0.2007880955
102	0.2001651511
103	0.1994887077
104	0.1985856671
105	0.1979946301
106	0.1973906012
107	0.1962958214
108	0.1950389159
109	0.1942606071
110	0.1937312295
111	0.1930870396
112	0.1923643086
113	0.1915844795
114	0.1911939919
115	0.1906884494
116	0.1900020267
117	0.1893975089
118	0.1888110968
119	0.1877939929
120	0.1873480911
121	0.1867774925
122	0.1861589808
123	0.1851284595
124	0.184314453
125	0.1834797146
126	0.1824328183
127	0.1815941622
128	0.1808643552
129	0.180390683
130	0.1796699637
131	0.1793182749
132	0.1785403929
133	0.1780934771
134	0.1777177539
135	0.1771692785
136	0.176285523
137	0.1758273295
138	0.1755146008
139	0.1751548217
140	0.1745591477
141	0.1740738242
142	0.1735502453
143	0.17316003
144	0.1727205673
145	0.1723773874
146	0.1716441791
147	0.171234784
148	0.1703555125
149	0.1696351678
150	0.1686166455
151	0.1673146541
152	0.1670355562
153	0.166763108
154	0.1663051043
155	0.165918802
156	0.1654544351
157	0.1651782589
158	0.1647969319
159	0.1641539575
160	0.1636379546
161	0.1630673584
162	0.1621317493
163	0.1618248593
164	0.1614320379
165	0.1610097707
166	0.1606991552
167	0.1603614694
168	0.1601938223
169	0.1598182356
170	0.1594734597
171	0.1591603955
172	0.1588712201
173	0.1586348546
174	0.1582931249
175	0.1578139611
176	0.1575746458
177	0.1572748514
178	0.1568975844
179	0.1563934837
180	0.1557211139
181	0.1553972248
182	0.154881527
183	0.1542737397
184	0.1536094453
185	0.1533045104
186	0.1527871526
187	0.1525194814
188	0.1520922864
189	0.1516593307
190	0.1514282826
191	0.1511837946
192	0.1508598498
193	0.1505539558
194	0.1503363861
195	0.1501516026
196	0.1497532657
197	0.1494897914
198	0.1491727517
199	0.1487528305
200	0.1483190305
201	0.1480452149
202	0.1477109551
203	0.1474348245
204	0.1470432244
205	0.1467997367
206	0.146493982
207	0.146189935
208	0.1456455539
209	0.1453936828
210	0.1451717695
211	0.1449361608
212	0.144579442
213	0.144238479
214	0.1440832881
215	0.1438851101
216	0.1435963485
217	0.1433929479
218	0.1430535414
219	0.1429291869
220	0.1427322995
